Strain	Accession	Year	Continent	Region	Country	Source	Genotype	Source
IB5354	ERR108666	2010	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5355	ERR108667	2010	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5356	ERR108668	2010	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5357	ERR108669	2010	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5358	ERR108670	2010	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5359	ERR108671	2010	Africa	East Africa	Tanzania	Blood	3.3.1	"Wong et al, 2015 (global framework)"
IB5360	ERR108672	2009	Africa	East Africa	Tanzania	Blood	3.3.1	"Wong et al, 2015 (global framework)"
IB5366	ERR108676	2009	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5367	ERR108677	2009	Africa	East Africa	Tanzania	Blood	3.3.1	"Wong et al, 2015 (global framework)"
IB5368	ERR108678	2009	Africa	East Africa	Tanzania	Blood	2.5.1	"Wong et al, 2015 (global framework)"
IB5369	ERR108679	2009	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5370	ERR108680	2010	Africa	East Africa	Tanzania	Blood	3.3.1	"Wong et al, 2015 (global framework)"
IB5371	ERR108681	2010	Africa	East Africa	Tanzania	Blood	3.3.1	"Wong et al, 2015 (global framework)"
IB5374	ERR108684	2010	Africa	East Africa	Tanzania	Blood	3.3.1	"Wong et al, 2015 (global framework)"
IB5375	ERR108685	2010	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5376	ERR108686	2010	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5378	ERR108687	2010	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5379	ERR108688	2010	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5380	ERR108689	2010	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5381	ERR108690	2010	Africa	East Africa	Tanzania	Blood	3.3.1	"Wong et al, 2015 (global framework)"
IB5382	ERR108691	2010	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5383	ERR108692	2009	Africa	East Africa	Tanzania	Blood	3.3.1	"Wong et al, 2015 (global framework)"
IB5384	ERR108693	2009	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
IB5385	ERR108694	2010	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST73	ERR204244	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST82	ERR204253	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST83	ERR204254	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST84	ERR204255	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST85	ERR204256	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST86	ERR204257	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST87	ERR204258	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST88	ERR204259	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST89	ERR204260	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST90	ERR204261	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST91	ERR204262	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST74	ERR204245	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST92	ERR204263	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST93	ERR204264	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST94	ERR204265	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST95	ERR204266	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST96	ERR204267	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST98	ERR204269	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST99	ERR204270	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST100	ERR204271	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST101	ERR204272	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST75	ERR204246	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST102	ERR204273	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST103	ERR204274	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST104	ERR204275	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST105	ERR204276	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST76	ERR204247	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST77	ERR204248	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST78	ERR204249	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST79	ERR204250	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST80	ERR204251	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST81	ERR204252	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST1	ERR213219	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST10	ERR213228	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST11	ERR213229	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST12	ERR213230	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST13	ERR213231	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST14	ERR213232	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST15	ERR213233	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST16	ERR213234	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST17	ERR213235	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST18	ERR213236	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST19	ERR213237	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST2	ERR213220	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST20	ERR213238	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST21	ERR213239	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST22	ERR213240	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST23	ERR213241	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST24	ERR213242	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST25	ERR213243	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST26	ERR213244	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST27	ERR213245	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST28	ERR213246	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST29	ERR213247	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST3	ERR213221	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST30	ERR213248	2009	Australia & Oceania	Oceania 	Fiji	Stool	4.2.2	"Wong et al, 2015 (global framework)"
MDUST31	ERR213249	2000	Australia & Oceania	Oceania 	Fiji	Blood	4.2.1	"Wong et al, 2015 (global framework)"
MDUST32	ERR213250	2000	Australia & Oceania	Oceania 	Fiji	Blood	4.2.1	"Wong et al, 2015 (global framework)"
MDUST33	ERR213251	1997	Australia & Oceania	Oceania 	Fiji	Stool	4.2.1	"Wong et al, 2015 (global framework)"
MDUST34	ERR213252	1997	Australia & Oceania	Oceania 	Fiji	Pus	4.2.1	"Wong et al, 2015 (global framework)"
MDUST35	ERR213253	1996	Australia & Oceania	Oceania 	Fiji	Blood	4.2.0	"Wong et al, 2015 (global framework)"
MDUST36	ERR213254	1996	Australia & Oceania	Oceania 	Fiji	Stool	4.2.1	"Wong et al, 2015 (global framework)"
MDUST4	ERR213222	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST5	ERR213223	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST6	ERR213224	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST7	ERR213225	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST8	ERR213226	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST9	ERR213227	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST37	ERR213255	1996	Australia & Oceania	Oceania 	Fiji	Stool	4.2.1	"Wong et al, 2015 (global framework)"
MDUST38	ERR213256	1996	Australia & Oceania	Oceania 	Fiji	Stool	4.2.1	"Wong et al, 2015 (global framework)"
MDUST39	ERR213257	1996	Australia & Oceania	Oceania 	Fiji	Stool	4.2.1	"Wong et al, 2015 (global framework)"
MDUST40	ERR213258	1996	Australia & Oceania	Oceania 	Fiji	Stool	4.2.1	"Wong et al, 2015 (global framework)"
MDUST41	ERR213259	1996	Australia & Oceania	Oceania 	Fiji	Blood	4.2.1	"Wong et al, 2015 (global framework)"
MDUST42	ERR213260	1996	Australia & Oceania	Oceania 	Fiji	Blood	4.2.3	"Wong et al, 2015 (global framework)"
MDUST43	ERR213261	1996	Australia & Oceania	Oceania 	Fiji	Blood	4.2.3	"Wong et al, 2015 (global framework)"
MDUST44	ERR213262	1996	Australia & Oceania	Oceania 	Fiji	Blood	3.5.0	"Wong et al, 2015 (global framework)"
MDUST45	ERR213263	1996	Australia & Oceania	Oceania 	Fiji	Blood	0.1.0	"Wong et al, 2015 (global framework)"
MDUST46	ERR213264	1996	Australia & Oceania	Oceania 	Fiji	Blood	2.0.0	"Wong et al, 2015 (global framework)"
MDUST47	ERR213265	1996	Australia & Oceania	Oceania 	Fiji	Blood	4.2.3	"Wong et al, 2015 (global framework)"
MDUST48	ERR213266	1996	Australia & Oceania	Oceania 	Fiji	Stool	2.3.5	"Wong et al, 2015 (global framework)"
MDUST49	ERR213267	1996	Australia & Oceania	Oceania 	Fiji	Stool	4.2.0	"Wong et al, 2015 (global framework)"
MDUST50	ERR213268	1996	Australia & Oceania	Oceania 	Fiji	Stool	4.2.0	"Wong et al, 2015 (global framework)"
MDUST51	ERR213269	1995	Australia & Oceania	Oceania 	Fiji	Stool	4.2.3	"Wong et al, 2015 (global framework)"
MDUST52	ERR213270	1995	Australia & Oceania	Oceania 	Fiji	Stool	4.2.0	"Wong et al, 2015 (global framework)"
MDUST53	ERR213271	1995	Australia & Oceania	Oceania 	Fiji	Stool	4.2.3	"Wong et al, 2015 (global framework)"
MDUST54	ERR213272	1995	Australia & Oceania	Oceania 	Fiji	Stool	4.2.3	"Wong et al, 2015 (global framework)"
MDUST55	ERR213273	1995	Australia & Oceania	Oceania 	Fiji	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST56	ERR213274	1994	Australia & Oceania	Oceania 	Fiji	Stool	2.3.5	"Wong et al, 2015 (global framework)"
MDUST57	ERR213275	1994	Australia & Oceania	Oceania 	Fiji	Blood	2.3.5	"Wong et al, 2015 (global framework)"
MDUST58	ERR213276	1994	Australia & Oceania	Oceania 	Fiji	Stool	4.2.3	"Wong et al, 2015 (global framework)"
MDUST59	ERR213277	1994	Australia & Oceania	Oceania 	Fiji	Stool	4.2.3	"Wong et al, 2015 (global framework)"
MDUST60	ERR213278	1994	Australia & Oceania	Oceania 	Fiji	Stool	4.2.3	"Wong et al, 2015 (global framework)"
MDUST61	ERR213279	1994	Australia & Oceania	Oceania 	Fiji	Stool	4.2.3	"Wong et al, 2015 (global framework)"
MDUST62	ERR213280	1994	Australia & Oceania	Oceania 	Fiji	Blood	4.2.1	"Wong et al, 2015 (global framework)"
MDUST63	ERR213281	1994	Australia & Oceania	Oceania 	Fiji	Stool	2.3.5	"Wong et al, 2015 (global framework)"
MDUST64	ERR213282	1994	Australia & Oceania	Oceania 	Fiji	Stool & Blood	2.3.5	"Wong et al, 2015 (global framework)"
MDUST65	ERR213283	1994	Australia & Oceania	Oceania 	Fiji	Stool	2.3.5	"Wong et al, 2015 (global framework)"
MDUST66	ERR213284	1994	Australia & Oceania	Oceania 	Fiji	Stool	2.3.5	"Wong et al, 2015 (global framework)"
MDUST67	ERR213285	1994	Australia & Oceania	Oceania 	Fiji	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST68	ERR213286	1994	Australia & Oceania	Oceania 	Fiji	Stool	2.3.5	"Wong et al, 2015 (global framework)"
MDUST69	ERR213287	1996	Australia & Oceania	Oceania 	Fiji	Stool	4.2.3	"Wong et al, 2015 (global framework)"
MDUST70	ERR213288	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST71	ERR213289	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
MDUST72	ERR213290	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
Ke378 	ERR212564	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke451  	ERR212636	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke452	ERR212637	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke453 	ERR212638	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke454	ERR212639	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke455	ERR212640	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke458 	ERR212643	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke461	ERR212646	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke462 	ERR212647	2008	Africa	East Africa	Kenya	Blood	2.5.0	"Wong et al, 2015 (global framework)"
Ke463  	ERR212648	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke466 	ERR212651	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke467  	ERR212652	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke468  	ERR212653	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke469  	ERR212654	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke470  	ERR212655	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke472  	ERR212657	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke474  	ERR212659	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke475	ERR212660	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke476  	ERR212661	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke477 	ERR212662	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke479 	ERR212664	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke480 	ERR212665	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke481 	ERR212666	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke482	ERR212667	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke492	ERR212677	2001	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Ke062  	ERR217406	2004	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BCR43	ERR420413	2009	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BCR48	ERR420414	2009	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BCR49	ERR420415	2009	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BCR52	ERR420416	2009	Asia	South Asia	India	Blood	2.2.1	"Wong et al, 2015 (global framework)"
BCR62	ERR420417	2009	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BCR89	ERR420418	2010	Asia	South Asia	India	Blood	2.2.1	"Wong et al, 2015 (global framework)"
BCR108	ERR420420	2010	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BCR110	ERR420421	2010	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BCR162	ERR420422	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BCR170	ERR420423	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BCR175	ERR420424	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BCR177	ERR420425	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BCR191	ERR420426	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BCR211	ERR420427	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
BCR232	ERR420428	2011	Asia	South Asia	India	Blood	2.0.0	"Wong et al, 2015 (global framework)"
SP2	ERR420429	2009	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
SP9	ERR420430	2009	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
SP11	ERR420431	2009	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
SP47	ERR420432	2009	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
SP66	ERR420433	2009	Asia	South Asia	India	Blood	3.3.0	"Wong et al, 2015 (global framework)"
SP80	ERR420434	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Quailes	ERR294858	1958	North America	North America	United States of America	Gallbladder fluid	3.1.0	"Wong et al, 2015 (global framework)"
D7558	ERR279344	2006	Asia	South Asia	India	Not provided	4.3.1	"Wong et al, 2015 (global framework)"
D7649	ERR279345	2007	Asia	South Asia	India	Not provided	4.3.1	"Wong et al, 2015 (global framework)"
C3551	ERR279346	2005	Asia	South Asia	India	Not provided	4.3.1	"Wong et al, 2015 (global framework)"
C3891	ERR279347	2005	Asia	South Asia	India	Not provided	4.3.1	"Wong et al, 2015 (global framework)"
C3495	ERR279348	2005	Asia	South Asia	India	Not provided	4.3.1	"Wong et al, 2015 (global framework)"
C3634	ERR279349	2005	Asia	South Asia	India	Not provided	4.3.1	"Wong et al, 2015 (global framework)"
E2889	ERR279350	2006	Asia	South Asia	India	Not provided	4.3.1	"Wong et al, 2015 (global framework)"
E2990	ERR279351	2006	Asia	South Asia	India	Not provided	4.3.1	"Wong et al, 2015 (global framework)"
E1240	ERR279352	2004	Asia	South Asia	India	Not provided	2.2.4	"Wong et al, 2015 (global framework)"
E1303	ERR279353	2004	Asia	South Asia	India	Not provided	2.2.4	"Wong et al, 2015 (global framework)"
1010996	ERR279098	2011	Africa	Southern Africa	Malawi	Blood	2.2.0	"Wong et al, 2015 (global framework)"
1013486	ERR279107	2011	Africa	Southern Africa	Malawi	Blood	4.1.1	"Wong et al, 2015 (global framework)"
1021106	ERR279109	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1021701	ERR279110	2011	Africa	Southern Africa	Malawi	Blood	2.4.1	"Wong et al, 2015 (global framework)"
1025691	ERR279111	2011	Africa	Southern Africa	Malawi	Blood	2.4.1	"Wong et al, 2015 (global framework)"
1031809	ERR279113	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1007914	ERR279114	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1013305	ERR279115	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1016889	ERR279116	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1014063	ERR279099	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1018216	ERR279117	2011	Africa	Southern Africa	Malawi	Blood	4.1.1	"Wong et al, 2015 (global framework)"
1023407	ERR279118	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1031785	ERR279121	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1007917	ERR279122	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1012911	ERR279123	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1016653	ERR279124	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1020791	ERR279125	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1022981	ERR279126	2011	Africa	Southern Africa	Malawi	Blood	4.1.1	"Wong et al, 2015 (global framework)"
1019695	ERR279100	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1022553	ERR279128	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1030630	ERR279129	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1014451	ERR279130	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1018211	ERR279131	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1016605	ERR279132	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1021854	ERR279133	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1022075	ERR279134	2011	Africa	Southern Africa	Malawi	Blood	4.1.1	"Wong et al, 2015 (global framework)"
1032927	ERR279136	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1019515	ERR279101	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1014383	ERR279138	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1017142	ERR279139	2011	Africa	Southern Africa	Malawi	Blood	4.1.1	"Wong et al, 2015 (global framework)"
1020184	ERR279140	2011	Africa	Southern Africa	Malawi	Blood	3.3.1	"Wong et al, 2015 (global framework)"
1023267	ERR279141	2011	Africa	Southern Africa	Malawi	Blood	2.4.1	"Wong et al, 2015 (global framework)"
1021624	ERR279142	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1024341	ERR279143	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1032463	ERR279144	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
A53009	ERR279145	2008	Africa	Southern Africa	Malawi	Blood	2.4.1	"Wong et al, 2015 (global framework)"
1013803	ERR279146	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1021678	ERR279102	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1017137	ERR279147	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1019839	ERR279148	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1022401	ERR279149	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1020976	ERR279150	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1023999	ERR279151	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1032281	ERR279152	2012	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
A53789	ERR279153	2009	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1012752	ERR279154	2011	Africa	Southern Africa	Malawi	Blood	2.4.1	"Wong et al, 2015 (global framework)"
1020366	ERR279155	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1019833	ERR279156	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1025912	ERR279103	2011	Africa	Southern Africa	Malawi	Blood	4.3.1	"Wong et al, 2015 (global framework)"
